회사ID,15_매출액,16_매출액,17_매출액,18_매출액,19_매출액,15_총급여,16_총급여,17_총급여,18_총급여,19_총급여,최대_직원수
32507,,,,6715903.0,,,,,775604000.0000001,,13
32970,,,,1730962.0,,,,,552174666.6666666,,12
32989,,,,646895.0,,,,,576374666.6666667,,12
33976,,,,12262628.0,,,,,820506666.6666669,,12
34029,,,,1715957.0,,,,,892104444.4444445,,10
34043,,,,1057194.0,,,,,463068888.88888884,,12
34070,,,,7155374.0,,,,,318361777.7777778,,10
34254,,,,3189623.0,,,,,331334666.6666667,,10
34488,,,,666773.0,,,,,558183111.111111,,9
35047,,,,2105026.0,,,,,442126222.2222223,,11
35129,,,,3246534.0,,,,,549023111.1111112,,13
35144,,,,906628.0,,,,,383549777.77777773,,10
35270,,,,661000.0,,,,,492226666.6666667,,7
35566,,,,5485787.0,,,,,548652444.4444444,,10
36098,,,,358235.0,,,,,312027111.1111111,,9
36181,,,,1667385.0,,,,,381401333.3333333,,9
36480,,,,1513954.0,,,,,580611111.1111112,,13
36600,,,,1321988.0,,,,,401882666.6666666,,9
36645,,,,3030719.0,,,,,644840000.0,,10
36760,,,,1018455.0,,,,,239742222.22222227,,9
36940,,,,4191732.0,,,,,291097777.7777778,,10
37287,,,,2553686.0,,,,,542892444.4444444,,9
37740,,,,820243.0,,,,,528108000.0,,10
37742,,,,48910351.0,,,,,369227555.55555564,,9
37752,,,,788185.0,,,,,393976000.0000001,,10
38215,,,,2348595.0,,,,,381824000.0,,9
38219,,,,207300.0,,,,,234636000.0,,9
38390,,,,2305636.0,,,,,542210222.2222222,,11
38993,,,,460492.0,,,,,434433777.7777778,,11
39657,,,,266220.0,,,,,860154666.6666669,,13
40164,,,,1402615.0,,,,,589486222.2222223,,8
40523,,,,203114.0,,,,,303200000.0,,8
40857,,,,25669313.0,,,,,368640000.0,,12
40860,,,,170914439.0,,,,,685392000.0,,7
41161,,,,1718593.0,,,,,410680444.4444445,,7
41385,,,,2823410.0,,,,,603488000.0000001,,7
41429,,2422101.0,,,,,287672000.00000006,,,,8
42188,,,,123495.0,,,,,53408000.0,,7
42550,,,,266360.0,,,,,425515555.5555556,,11
42685,,,,1226274.0,,,,,375512000.00000006,,6
43780,,,,809714.0,,,,,505008888.888889,,9
43898,,,,2535548.0,,,,,422148000.0,,8
43953,,,,1505609.0,,,,,359417333.3333334,,7
44405,,,,5306120.0,,,,,549677333.3333334,,7
44466,,,,3487371.0,,,,,360285777.77777785,,8
44575,,,,863956.0,,,,,272632000.0,,8
44851,,939238.0,,1189946.0,,,319045333.3333333,,242568000.00000003,,8
44997,,,,4560613.0,,,,,626578666.6666667,,8
45405,,,,13757602.0,,,,,538238666.6666665,,9
45425,,,,1604743.0,,,,,304551111.11111116,,9
45514,,,,5428141.0,,,,,403441777.7777778,,8
45560,,,,1301499.0,,,,,523690222.2222222,,11
45581,,,,1399003.0,,,,,313918222.22222227,,8
45597,,,,1019251.0,,,,,378694222.22222227,,8
45621,,,,3290197.0,,,,,301345333.3333334,,7
45673,,,,6965011.0,,,,,340539111.11111116,,8
46175,,,,1248045.0,,,,,382214666.6666667,,8
46311,,,,887625.0,,,,,308155111.1111111,,14
46431,,,,3544083.0,,,,,473980444.44444436,,13
46499,,,,13553574.0,,,,,677423555.5555557,,14
47194,,,,1205892.0,,,,,422050666.6666668,,7
47306,,,,,345228.0,,,,,329698666.6666666,7
47600,,,,927400.0,,,,,484810666.6666668,,7
47900,,,,702448.0,,,,,233560000.0,,7
48653,,,,420702.0,,,,,245000000.00000003,,7
48986,,,,5456002.0,,,,,444740000.0,,10
49217,,,,2280095.0,,,,,251778666.66666672,,7
49311,,,,600026.0,,,,,488247111.1111112,,7
49451,,,,4402105.0,,,,,474560444.4444444,,7
50138,,,,4632042.0,,,,,437829333.3333333,,7
50383,,,,444335.0,,,,,241855111.11111116,,6
50518,,,,9793732.0,,,,,235324888.88888893,,7
50679,,,,909378.0,,,,,242216000.0,,7
50829,,,,2287579.0,,,,,356938666.6666667,,9
51144,,,,7356209.0,,,,,740374666.6666667,,21
51173,,,,881340.0,,,,,300824000.00000006,,7
51393,,,,1455975.0,,,,,200165333.33333334,,6
51493,,,,2129073.0,,,,,556392444.4444447,,8
51866,,,,547411.0,,,,,262106666.6666667,,9
51969,,,,826106.0,,,,,314401333.3333334,,5
52339,,,,433226.0,,,,,342041777.7777778,,10
52970,,,,3121069.0,,,,,568900444.4444444,,11
53568,,,,554988.0,,,,,271353777.7777778,,7
53805,,,,326457.0,,,,,223398222.22222224,,8
53852,,,,943691.0,,,,,316000000.0,,7
53868,,,,577038.0,,,,,279522666.6666667,,8
55335,,,,1761627.0,,,,,379742666.6666667,,7
55402,,,,403993.0,,,,,192931555.55555558,,7
55620,,,,1555992.0,,,,,413402666.6666667,,7
55636,,,,23285588.0,,,,,320595555.55555564,,6
55813,,,,3642548.0,,,,,567160000.0,,41
56041,,,,336578.0,,,,,369498222.2222223,,7
56103,,,,1316857.0,,,,,363488000.00000006,,6
56643,,,,6506228.0,,,,,215600000.0,,6
57389,,,,295966.0,,,,,447117333.33333343,,6
57539,,,,884941.0,,,,,230856444.4444445,,4
58542,,,,3361982.0,,,,,131581333.33333337,,6
58646,,,,838080.0,,,,,323986222.2222222,,7
58713,,,,493285.0,,,,,289585777.7777778,,8
58714,,,,2474688.0,,,,,220000000.0,,6
58829,,,,3804362.0,,,,,284840888.88888896,,6
59133,,,,64833.0,,,,,168346666.66666672,,6
59225,,,,535484.0,,,,,293754666.6666667,,6
59533,194704.0,207762.0,124299.0,144614.0,,20019555.555555556,144225333.33333334,125485333.33333334,133015999.99999997,,6
59582,,,,2113911.0,,,,,170191111.1111111,,5
60154,,,,50805868.0,,,,,495464000.0,,7
60268,,,,3276052.0,,,,,351677333.33333343,,6
60383,,,,1527391.0,,,,,419344000.0,,6
